option_price,underlying_price
0.108855,51.000000
0.124783,53.000000
0.140711,55.000000
0.156640,57.000000
0.172568,59.000000
0.188496,61.000000
0.214831,63.000000
0.265982,65.000000
0.317133,67.000000
0.368284,69.000000
0.419434,71.000000
0.470585,73.000000
0.521736,75.000000
0.572887,77.000000
0.624037,79.000000
0.675188,81.000000
0.772849,83.000000
0.902162,85.000000
1.031474,87.000000
1.160787,89.000000
1.290099,91.000000
1.419412,93.000000
1.548724,95.000000
1.678037,97.000000
1.807350,99.000000
1.936662,101.000000
2.184695,103.000000
2.446710,105.000000
2.708725,107.000000
2.970741,109.000000
3.232756,111.000000
3.494771,113.000000
3.756786,115.000000
4.018801,117.000000
4.280816,119.000000
4.576566,121.000000
5.012275,123.000000
5.447983,125.000000
5.883691,127.000000
6.319399,129.000000
6.755107,131.000000
7.190816,133.000000
7.626524,135.000000
8.062232,137.000000
8.497940,139.000000
8.974737,141.000000
9.493653,143.000000
10.012568,145.000000
10.531483,147.000000
11.050399,149.000000
11.746326,151.000000
12.442254,153.000000
13.138181,155.000000
13.834109,157.000000
14.530036,159.000000
15.225964,161.000000
15.921891,163.000000
16.617819,165.000000
17.313746,167.000000
18.009674,169.000000
18.747774,171.000000
19.591306,173.000000
20.434839,175.000000
21.278371,177.000000
22.121904,179.000000
22.965436,181.000000
23.808968,183.000000
24.652501,185.000000
25.496033,187.000000
26.339566,189.000000
27.183098,191.000000
28.026631,193.000000
28.870163,195.000000
29.799672,197.000000
30.736346,199.000000
31.673020,201.000000
32.609694,203.000000
33.546368,205.000000
34.483042,207.000000
35.419716,209.000000
36.356389,211.000000
37.293063,213.000000
38.229737,215.000000
39.166411,217.000000
40.103085,219.000000
41.039759,221.000000
41.976433,223.000000
42.934931,225.000000
43.915252,227.000000
44.895574,229.000000
45.875895,231.000000
46.856217,233.000000
47.836538,235.000000
48.816860,237.000000
49.797182,239.000000
50.777503,241.000000
51.757825,243.000000
52.738146,245.000000
53.718468,247.000000
54.698789,249.000000
